model,variant,ngram,k1,b,delta,MAP,MRR,MicroF1@5,NDCG@5,R-Precision
BM25+_ng=5_k1=1.5_b=0.75_d=1.0,bm25plus,5,1.5,0.75,1.0,0.5180355043418527,0.7500373842331937,0.3873626373626374,0.6324390689816454,0.479061747498437
BM25+_ng=5_k1=1.2_b=0.75_d=1.0,bm25plus,5,1.2,0.75,1.0,0.5118848886712652,0.7467174046933266,0.3811813186813187,0.6265171610238374,0.474600155295045
BM25_okapi_ng=5_k1=1.5_b=0.75,okapi,5,1.5,0.75,0.0,0.5019423605764917,0.7403040031622963,0.3784340659340659,0.6194604596013553,0.4682346815984268
BM25_okapi_ng=5_k1=1.2_b=0.75,okapi,5,1.2,0.75,0.0,0.4962333745901738,0.7389415154183466,0.37156593406593413,0.6121820435051596,0.46879871273053925
BM25_okapi_ng=3_k1=1.5_b=0.75,okapi,3,1.5,0.75,0.0,0.4779693295554605,0.7340445582729924,0.3585164835164835,0.5972086656601251,0.45488353980064744
BM25_okapi_ng=3_k1=1.2_b=0.75,okapi,3,1.2,0.75,0.0,0.4679471999916191,0.7296073366793745,0.35439560439560436,0.5887905698252062,0.44366691448562506
BM25_okapi_ng=5_k1=1.2_b=0.5,okapi,5,1.2,0.5,0.0,0.45048673831644054,0.7153200093242695,0.34890109890109894,0.5745963984806045,0.4289121916502744
BM25+_ng=2_k1=1.2_b=0.75_d=1.0,bm25plus,2,1.2,0.75,1.0,0.4371726077426334,0.7118963993154744,0.334478021978022,0.5596425622341379,0.41047973911500446
BM25L_ng=5_k1=1.5_b=0.75_d=0.5,bm25l,5,1.5,0.75,0.5,0.42489007023975894,0.6803879512387137,0.3241758241758242,0.5391218480414364,0.4022680856668219
BM25_okapi_ng=2_k1=1.5_b=0.75,okapi,2,1.5,0.75,0.0,0.41839558797822635,0.7063167536280773,0.31936813186813184,0.5424480647714971,0.39267662586572244
BM25L_ng=5_k1=1.2_b=0.75_d=0.5,bm25l,5,1.2,0.75,0.5,0.4096211652332173,0.6744082445238943,0.3159340659340659,0.5263294524574366,0.3821407970510042
BM25_okapi_ng=2_k1=1.2_b=0.75,okapi,2,1.2,0.75,0.0,0.40624417495445503,0.696548731490916,0.3131868131868132,0.5318430979027817,0.3834007141619885
BM25L_ng=2_k1=1.5_b=0.75_d=0.5,bm25l,2,1.5,0.75,0.5,0.29796903456807083,0.5581297745042839,0.23626373626373626,0.4006382148471473,0.2849786100233609
BM25+_ng=1_k1=1.5_b=0.75_d=1.0,bm25plus,1,1.5,0.75,1.0,0.21185826077436115,0.4771021043822587,0.1758241758241758,0.30622063447499875,0.19368976024968923
BM25+_ng=1_k1=1.2_b=0.75_d=1.0,bm25plus,1,1.2,0.75,1.0,0.19645943545478833,0.46241832658780513,0.16552197802197802,0.2884139645799353,0.1761438428222222
BM25_okapi_ng=1_k1=2.0_b=0.75,okapi,1,2.0,0.75,0.0,0.18900474830007463,0.43112941025745916,0.15384615384615385,0.26850649633613766,0.17308464210671243
BM25+_ng=1_k1=1.2_b=0.75_d=0.5,bm25plus,1,1.2,0.75,0.5,0.1722475127732841,0.4149515177488078,0.14423076923076922,0.24976925981515713,0.15471241575857253
BM25_okapi_ng=1_k1=1.5_b=0.75,okapi,1,1.5,0.75,0.0,0.1619832061408,0.3893083590525283,0.13392857142857142,0.22855179131594394,0.14193720886265274
BM25_okapi_ng=1_k1=1.2_b=0.75,okapi,1,1.2,0.75,0.0,0.14919916488472615,0.3656034313671145,0.11881868131868131,0.2085760856774331,0.13189882965131425
BM25+_ng=1_k1=1.5_b=0.5_d=1.0,bm25plus,1,1.5,0.5,1.0,0.13375695759804446,0.3426498231381421,0.10576923076923077,0.188871076235249,0.12028813327650956
BM25_okapi_ng=1_k1=1.5_b=0.5,okapi,1,1.5,0.5,0.0,0.11015736697175,0.2651615166459034,0.08585164835164835,0.15049456595612243,0.0995967149617418
BM25_okapi_ng=1_k1=1.2_b=0.5,okapi,1,1.2,0.5,0.0,0.10443630569205517,0.2527632795754278,0.07760989010989011,0.1395611450402454,0.0942292340742348
BM25L_ng=1_k1=1.5_b=0.75_d=0.5,bm25l,1,1.5,0.75,0.5,0.08737046858616308,0.1909289644179312,0.0570054945054945,0.10328135822954403,0.07559636765290684
BM25_okapi_ng=1_k1=0.9_b=0.4,okapi,1,0.9,0.4,0.0,0.08290369486551084,0.18992005882440688,0.057692307692307696,0.10549639803366327,0.07550314297634884
BM25L_ng=1_k1=1.2_b=0.75_d=0.5,bm25l,1,1.2,0.75,0.5,0.08031522025472866,0.17217203206547768,0.05219780219780219,0.0950627111225509,0.06912114055986365
BM25L_ng=1_k1=1.5_b=0.5_d=0.5,bm25l,1,1.5,0.5,0.5,0.0737107169485112,0.16126417083426053,0.04945054945054945,0.08902116917593537,0.06427701497444534
BM25L_ng=1_k1=1.5_b=0.75_d=1.0,bm25l,1,1.5,0.75,1.0,0.06752744899371561,0.13805598690204912,0.041208791208791215,0.07456317334919613,0.05773883199948075
