model,type,MAP,MRR,MicroF1@5,MicroF1@10,NDCG@5,NDCG@10,P@5,R@5
Hybrid_IDFCosine_BM25ng=5_a=0.3,Hybrid,0.4469086294987187,0.6955272798734293,0.3434065934065934,0.3666097144251892,0.5524229580318715,0.5550976696653461,0.4273504273504275,0.42009684672812037
Hybrid_BC_BM25ng=5_a=0.3,Hybrid,0.4422021563339142,0.6912181630643126,0.3413461538461538,0.3627044178667318,0.5483651921248194,0.5502512366069524,0.42478632478632494,0.41916359401114417
Hybrid_Jaccard_BM25ng=5_a=0.5,Hybrid,0.4433939104981363,0.6986963804784274,0.3365384615384615,0.36172809372711745,0.5473105969324877,0.5517549629026444,0.4188034188034189,0.41331495653397887
Hybrid_Dice_BM25ng=5_a=0.5,Hybrid,0.4316439201038295,0.6859589635743438,0.33035714285714285,0.35294117647058826,0.5350771927357894,0.5383625381851553,0.4111111111111113,0.4097072987596544
Hybrid_IDFCosine_BM25ng=5_a=0.5,Hybrid,0.4303933090646605,0.6834847402667872,0.3269230769230769,0.35147669026116674,0.5308498918854957,0.5359455505868224,0.40683760683760706,0.4075870201682363
Hybrid_BC_BM25ng=5_a=0.5,Hybrid,0.4288186209060585,0.6812648922136059,0.3255494505494505,0.3490358799121308,0.5291560719083725,0.5334337494543812,0.40512820512820535,0.4066480671459499
Hybrid_BC_BM25ng=5_a=0.7,Hybrid,0.42286520769171776,0.6748122399276202,0.32142857142857145,0.3431779350744447,0.5220652984008084,0.5258422918075556,0.4000000000000003,0.4023512755684565
Hybrid_IDFCosine_BM25ng=5_a=0.7,Hybrid,0.423894386538772,0.67373199301404,0.32142857142857145,0.3451305833536734,0.522334061490617,0.5274012355907758,0.40000000000000024,0.40305664925459944
Hybrid_IDFCosine_BM25ng=1_a=0.5,Hybrid,0.2648097039337584,0.5802994782720567,0.2630494505494505,0.2592140590676104,0.4012807032180596,0.3728030955168083,0.3273504273504276,0.2500397482685254
Hybrid_BC_BM25ng=1_a=0.5,Hybrid,0.26392102991867983,0.5850291621684073,0.2623626373626374,0.2592140590676104,0.4010155388793353,0.37280985268293965,0.3264957264957268,0.24926270199589443
Hybrid_IDFCosine_BM25ng=1_a=0.7,Hybrid,0.26195194599540145,0.576524549497128,0.25892857142857145,0.25872589699780324,0.3949652580394565,0.3696486276064763,0.3222222222222224,0.24718164700139228
Hybrid_BC_BM25ng=1_a=0.7,Hybrid,0.2591873955360476,0.5752543690602809,0.2582417582417582,0.25482060043934585,0.39256036160552943,0.36558693768233436,0.32136752136752156,0.24680232792180798
Hybrid_Dice_BM25ng=1_a=0.5,Hybrid,0.2610156955266155,0.5838946485338937,0.2541208791208791,0.2543324383695387,0.3923957713050384,0.36846004790280845,0.31623931623931656,0.2472717903070456
Hybrid_Jaccard_BM25ng=1_a=0.7,Hybrid,0.26031552944239006,0.577068912541491,0.2534340659340659,0.25530876250915296,0.39015409769507264,0.3674506353236985,0.3153846153846156,0.24488147496224363
Hybrid_IDFCosine_BM25ng=1_a=0.3,Hybrid,0.2622746900439128,0.5801555931922743,0.2534340659340659,0.24310471076397364,0.3965295734972961,0.3653061544514401,0.3153846153846155,0.248913509655888
Hybrid_BC_BM25ng=1_a=0.9,Hybrid,0.25776351693043914,0.5749084187143305,0.2534340659340659,0.25286795216011715,0.3878440257315182,0.3635466449776647,0.31538461538461554,0.24325615653744032
Hybrid_BC_BM25ng=1_a=0.3,Hybrid,0.26300549673330814,0.5827806390865509,0.25206043956043955,0.24505735904320236,0.395073136299571,0.3663337337767384,0.31367521367521384,0.2472892920416191
Hybrid_Jaccard_BM25ng=1_a=0.5,Hybrid,0.2567609492090453,0.5768748165140616,0.24656593406593408,0.2411520624847449,0.385093518927069,0.3595003151701886,0.306837606837607,0.24556394212483834
Hybrid_Dice_BM25ng=1_a=0.3,Hybrid,0.2520062189284163,0.5695180154852919,0.24107142857142858,0.22992433487917988,0.37995182902194813,0.3515334635885674,0.3000000000000003,0.2423036283715803
Citation_IDFCosine,Pure,0.19257062280262782,0.5234784388826174,0.2348901098901099,0.2221137417622651,0.34401968714830594,0.3002579953003368,0.2923076923076925,0.18187947348433575
Citation_Jaccard,Pure,0.1902668267760565,0.5227356631398417,0.22939560439560439,0.21918476934342204,0.3382742963760531,0.29741164576249945,0.2854700854700856,0.17904608536248606
Citation_Dice,Pure,0.1902668267760565,0.5227356631398417,0.22939560439560439,0.21918476934342204,0.3382742963760531,0.29741164576249945,0.2854700854700856,0.17904608536248606
Citation_BC,Pure,0.1904061641982746,0.5195424057799176,0.228021978021978,0.21869660727361484,0.33635411226248657,0.29651729669294535,0.28376068376068386,0.17729055962145304
Hybrid_Jaccard_BM25ng=1_a=0.3,Hybrid,0.23387102458737727,0.553814526395849,0.21222527472527475,0.20161093483036369,0.34880251337402596,0.32439588824764476,0.26410256410256444,0.22617060708291573
Hybrid_BC_BM25ng=1_a=0.1,Hybrid,0.20189952646576473,0.4892577182142886,0.17376373626373626,0.16743958994386138,0.29326412637476573,0.2793920094615953,0.21623931623931636,0.1893027528668428
Citation_Cocitation,Pure,0.16446622295803176,0.3955205470396816,0.15865384615384615,0.18257261410788383,0.2343236993838907,0.2388606199011454,0.1974358974358974,0.1438720310918828
