model,arch,dim,window,weighting,ngram,MAP,MRR,MicroF1@5,NDCG@5,R-Precision
W2V_skipgram_d=200_w=10_mc=2_tfidf_ng=1,skipgram,200,10,tfidf,1,0.25311110732958697,0.49360622841533336,0.2109499099862332,0.32738802265724326,0.23460229840278493
W2V_skipgram_d=200_w=10_mc=2_mean_ng=1,skipgram,200,10,mean,1,0.2525334719854589,0.49125888117732935,0.20692576511701788,0.32392830102914927,0.23402158454517777
W2V_cbow_d=200_w=10_mc=2_tfidf_ng=1,cbow,200,10,tfidf,1,0.2524307987317038,0.48942324627245015,0.20480779413322037,0.3229834140741262,0.22828048722967473
W2V_skipgram_d=300_w=5_mc=2_mean_ng=1,skipgram,300,5,mean,1,0.250258034581874,0.4901161316638154,0.20544318542835965,0.3222208554944576,0.23318735075866004
W2V_skipgram_d=300_w=5_mc=2_tfidf_ng=1,skipgram,300,5,tfidf,1,0.24968617465929974,0.4883995846166612,0.20607857672349889,0.3212452671070497,0.2324011888424604
W2V_skipgram_d=200_w=5_mc=2_tfidf_ng=1,skipgram,200,5,tfidf,1,0.24865138854440744,0.49211497816395705,0.20353701154294188,0.3194104503285972,0.23241641459182258
W2V_skipgram_d=200_w=5_mc=5_mean_ng=1,skipgram,200,5,mean,1,0.24645496002483644,0.4852128986059471,0.20374880864132158,0.31750822646348414,0.22876427838579724
W2V_skipgram_d=200_w=5_mc=2_mean_ng=1,skipgram,200,5,mean,1,0.24498665138372086,0.48132577231255563,0.2007836492640051,0.31478088779452496,0.22877240284994957
W2V_skipgram_d=100_w=5_mc=5_tfidf_ng=1,skipgram,100,5,tfidf,1,0.24458096497060627,0.4845067046462635,0.1990892724769671,0.3135802790042448,0.23058942289507653
W2V_skipgram_d=100_w=10_mc=2_mean_ng=1,skipgram,100,10,mean,1,0.24385800222284598,0.4772264731780854,0.19845388118182783,0.3111871288001607,0.22384817743510385
W2V_cbow_d=300_w=5_mc=2_tfidf_ng=1,cbow,300,5,tfidf,1,0.2417938755351181,0.47738827581188076,0.19718309859154928,0.311136619996165,0.22151160044770032
W2V_skipgram_d=100_w=5_mc=2_tfidf_ng=1,skipgram,100,5,tfidf,1,0.24167630635602763,0.47850499851578804,0.1980302869850683,0.3112783022737587,0.23126102307925409
W2V_cbow_d=200_w=5_mc=2_tfidf_ng=1,cbow,200,5,tfidf,1,0.23901770535409153,0.4700263924488397,0.19506512760775177,0.306378451754149,0.22187736792139662
W2V_skipgram_d=100_w=5_mc=5_mean_ng=1,skipgram,100,5,mean,1,0.2381184126371285,0.46619084062596206,0.19718309859154928,0.306397549998989,0.22113167923030547
W2V_skipgram_d=100_w=5_mc=2_mean_ng=1,skipgram,100,5,mean,1,0.2339247307028103,0.46249649493252487,0.19167637403367574,0.30012172698528344,0.21718351782413223
W2V_cbow_d=200_w=10_mc=2_mean_ng=1,cbow,200,10,mean,1,0.23210579979810594,0.4665102144870694,0.1861696494758022,0.2980385115134998,0.21102395690473597
W2V_cbow_d=100_w=5_mc=2_tfidf_ng=1,cbow,100,5,tfidf,1,0.23088802886817134,0.46113274833699114,0.19104098273853645,0.298656447285578,0.2132257717688732
W2V_cbow_d=100_w=10_mc=2_mean_ng=1,cbow,100,10,mean,1,0.22248082012631024,0.45400480738444404,0.18087472201630836,0.2866604034426565,0.20352047920014948
W2V_cbow_d=300_w=5_mc=2_mean_ng=1,cbow,300,5,mean,1,0.22140586814594806,0.4535735612564315,0.18002753362278934,0.28573932359416865,0.20650527723020498
W2V_cbow_d=200_w=5_mc=2_mean_ng=1,cbow,200,5,mean,1,0.2181399623893045,0.44820795110190914,0.1776977655406121,0.28129544557858327,0.20382061455826175
W2V_cbow_d=100_w=5_mc=2_mean_ng=1,cbow,100,5,mean,1,0.2126639963505132,0.44205484891165303,0.17134385258921953,0.2730504400124991,0.19785967849827685
W2V_cbow_d=100_w=5_mc=5_mean_ng=1,cbow,100,5,mean,1,0.20919944459358214,0.4350807596579402,0.17134385258921953,0.2703505298527794,0.19267312033606776
W2V_skipgram_d=200_w=5_mc=2_mean_ng=2,skipgram,200,5,mean,2,0.18778058331365186,0.3971484993293213,0.1493169543577253,0.24215359948630888,0.17308337013778405
W2V_cbow_d=200_w=5_mc=2_tfidf_ng=2,cbow,200,5,tfidf,2,0.18480522284429676,0.38784230229185407,0.15185851953828233,0.23817687436223564,0.17340820000287596
W2V_cbow_d=100_w=5_mc=2_mean_ng=2,cbow,100,5,mean,2,0.17747006941985208,0.38251689657235644,0.14995234565286455,0.2345394071346839,0.1662247330903512
W2V_skipgram_d=100_w=5_mc=2_mean_ng=2,skipgram,100,5,mean,2,0.1758022792546645,0.3792447980503375,0.14381022979985172,0.22774211130039074,0.16341800596428716
W2V_skipgram_d=200_w=5_mc=2_tfidf_ng=2,skipgram,200,5,tfidf,2,0.1716925234015628,0.3747026590939839,0.1399978820290162,0.22439221126674405,0.15894959431504768
W2V_skipgram_d=100_w=5_mc=2_tfidf_ng=2,skipgram,100,5,tfidf,2,0.1650877359470902,0.36110777858372145,0.13576194006142114,0.2145621064256981,0.15244453818060041
